Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
9.38,0.77521,1.40157,-175,-2.85659
9.4,0.777505,1.40188,-175,-2.85561
9.42,0.779816,1.40219,-175,-2.85462
9.44,0.782143,1.40249,-175,-2.85361
9.46,0.784486,1.40277,-175,-2.8526
9.48,0.786844,1.40304,-175,-2.85157
9.5,0.789218,1.40331,-175,-2.85054
9.52,0.791606,1.40356,-175,-2.84949
9.54,0.79401,1.4038,-175,-2.84844
9.56,0.796429,1.40402,-175,-2.84737
9.58,0.798862,1.40424,-175,-2.84629
9.6,0.801309,1.40445,-175,-2.8452
9.62,0.803771,1.40464,-175,-2.8441
9.64,0.806247,1.40483,-175,-2.84299
9.66,0.808737,1.405,-175,-2.84187
9.68,0.811241,1.40517,-175,-2.84074
9.7,0.813758,1.40532,-175,-2.8396
9.72,0.816288,1.40546,-175,-2.83844
9.74,0.818832,1.4056,-175,-2.83728
9.76,0.821389,1.40572,-175,-2.83611
9.78,0.823959,1.40583,-175,-2.83492
9.8,0.826542,1.40593,-175,-2.83372
9.82,0.829137,1.40602,-175,-2.83252
9.84,0.831745,1.40611,-175,-2.8313
9.86,0.834364,1.40618,-175,-2.83007
9.88,0.836996,1.40624,-175,-2.82883
9.9,0.83964,1.40629,-175,-2.82758
9.92,0.842295,1.40633,-175,-2.82632
9.94,0.844962,1.40637,-175,-2.82505
9.96,0.84764,1.40639,-175,-2.82377
9.98,0.85033,1.4064,-175,-2.82247
10,0.85303,1.40641,-175,-2.82117
10.02,0.855741,1.4064,-175,-2.81985
10.04,0.858463,1.40639,-175,-2.81853
10.06,0.861196,1.40637,-175,-2.81719
10.08,0.863938,1.40634,-175,-2.81584
10.1,0.866691,1.40629,-175,-2.81448
10.12,0.869454,1.40624,-175,-2.81312
10.14,0.872226,1.40619,-175,-2.81174
10.16,0.875008,1.40612,-175,-2.81034
10.18,0.8778,1.40604,-175,-2.80894
10.2,0.880601,1.40596,-175,-2.80753
10.22,0.883411,1.40586,-175,-2.80611
10.24,0.886229,1.40576,-175,-2.80467
10.26,0.889057,1.40565,-175,-2.80323
10.28,0.891893,1.40553,-175,-2.80177
10.3,0.894738,1.4054,-175,-2.8003
10.32,0.89759,1.40527,-175,-2.79883
10.34,0.900451,1.40512,-175,-2.79734
10.36,0.90332,1.40497,-175,-2.79584
10.38,0.906196,1.40481,-175,-2.79433
10.4,0.90908,1.40465,-175,-2.7928
10.42,0.911972,1.40447,-175,-2.79127
10.44,0.91487,1.40429,-175,-2.78973
10.46,0.917776,1.4041,-175,-2.78817
10.48,0.920688,1.4039,-175,-2.78661
10.5,0.923607,1.40369,-175,-2.78503
10.52,0.926533,1.40348,-175,-2.78345
10.54,0.929464,1.40326,-175,-2.78185
10.56,0.932402,1.40303,-175,-2.78024
10.58,0.935346,1.4028,-175,-2.77862
10.6,0.938296,1.40255,-175,-2.77699
10.62,0.941251,1.40231,-175,-2.77534
10.64,0.944212,1.40205,-175,-2.77369
10.66,0.947178,1.40179,-175,-2.77203
10.68,0.95015,1.40152,-175,-2.77035
10.7,0.953126,1.40124,-175,-2.76866
10.72,0.956107,1.40095,-175,-2.76697
10.74,0.959092,1.40066,-175,-2.76526
10.76,0.962082,1.40037,-175,-2.76354
