X,Y,Z,Phi
-98.3871,250.432,100,-1.3356
-98.5345,250.393,100,-1.33909
-98.6751,250.355,100,-1.3426
-98.8089,250.32,100,-1.34616
-98.9357,250.286,100,-1.34974
-99.0556,250.254,100,-1.35336
-99.1685,250.223,100,-1.35702
-99.2745,250.195,100,-1.3607
-99.3733,250.169,100,-1.36442
-99.4651,250.144,100,-1.36818
-99.5498,250.121,100,-1.37197
-99.6273,250.1,100,-1.37579
-99.6976,250.081,100,-1.37965
-99.7606,250.064,100,-1.38354
-99.8164,250.049,100,-1.38747
-99.8649,250.036,100,-1.39143
-99.906,250.025,100,-1.39542
-99.9398,250.016,100,-1.39945
-99.966,250.009,100,-1.40352
-99.9849,250.004,100,-1.40762
-99.9962,250.001,100,-1.41176
-100,250,100,-1.41593
-100,250,100,-1.41593
-99.9792,250.008,100,-1.42022
-99.917,250.033,100,-1.4247
-99.8137,250.074,100,-1.42939
-99.6693,250.132,100,-1.43428
-99.4841,250.206,100,-1.43936
-99.2583,250.295,100,-1.44464
-98.992,250.401,100,-1.45011
-98.6855,250.522,100,-1.45578
-98.3389,250.658,100,-1.46164
-97.9523,250.809,100,-1.46769
-97.5259,250.975,100,-1.47393
-97.0599,251.156,100,-1.48036
-96.5544,251.351,100,-1.48698
-96.0095,251.559,100,-1.49378
-95.4254,251.782,100,-1.50077
-94.8021,252.017,100,-1.50795
-94.1399,252.265,100,-1.51531
-93.4388,252.526,100,-1.52285
-92.6988,252.798,100,-1.53058
-91.9203,253.082,100,-1.53848
-91.1031,253.378,100,-1.54657
-90.2476,253.684,100,-1.55483
-89.3536,254,100,-1.56328
-88.4214,254.326,100,-1.57189
-87.451,254.661,100,-1.58069
-86.4426,255.005,100,-1.58965
-85.3961,255.358,100,-1.59879
-84.3118,255.718,100,-1.60811
-83.1898,256.085,100,-1.61759
-82.03,256.459,100,-1.62724
-80.8326,256.839,100,-1.63707
-79.5977,257.224,100,-1.64706
-78.3253,257.614,100,-1.65721
